genus,species,common_nam,street_num,street_nam,site,date_deliv,time_deliv,date_compl,time_compl,estimated_,source,program_ye,OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,TRACT_DESCRIPTION,Shape_Length,Shape_Area
Taxodium,distichum,Bald cypress,1625,W. Little Creek Rd,9P,12/7/2018,00:00.0,12/17/2018,00:00.0,490.873852,City Nursery,2019,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
Ostrya,virginiana,Hophornbeam,7407,Chipping Rd,1F,10/26/2017,00:00.0,10/31/2017,00:00.0,706.858347,City Nursery,2018,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
Acer,barbatum,Florida maple,1625,W Little Creek Rd,6P,12/7/2018,00:00.0,12/17/2018,00:00.0,1256.63706,City Nursery,2019,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
Platanus,mexicana,Mexican sycamore,7721,Argyle Ave,1S,10/26/2017,00:00.0,10/30/2017,00:00.0,1256.63706,City Nursery,2018,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
Platanus,mexicana,Mexican sycamore,1511,Cloncurry Rd,1S,10/18/2017,00:00.0,10/30/2017,00:00.0,1256.63706,Purchased,2018,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
Platanus,mexicana,Mexican sycamore,7721,Argyle Ave,2F,10/26/2017,00:00.0,10/30/2017,00:00.0,1256.63706,City Nursery,2018,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
Ostrya,virginiana,Hophornbeam,7335,Shirland Ave,1F,10/26/2017,00:00.0,10/30/2017,00:00.0,706.858347,City Nursery,2018,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
Platanus,mexicana,Mexican sycamore,1514,Runnymede Rd,2F,10/18/2017,00:00.0,10/30/2017,00:00.0,1256.63706,Purchased,2018,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
Taxodium,distichum,Bald cypress,1625,W. Little Creek Rd,10P,12/7/2018,00:00.0,12/17/2018,00:00.0,490.873852,City Nursery,2019,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
Halesia,diptera,Two-winged silverbell,1625,W Little Creek Rd,1P,12/3/2018,00:00.0,12/5/2018,00:00.0,706.5,City Nursery,2019,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
Quercus,phellos,Willow oak,7729,Dunfield Pl,1F,11/21/2018,00:00.0,11/29/2018,00:00.0,1963.49541,City Nursery,2019,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
Acer,barbatum,Florida maple,1625,W Little Creek Rd,5P,12/7/2018,00:00.0,12/17/2018,00:00.0,1256.63706,City Nursery,2019,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
